trial_id,participant,kata,treatment,time_to_green_s,time_to_green_min,elapsed_s,elapsed_min,censored,event,status,timebox_s,timebox_min,tests_passed,tests_failed,tests_total,pct_tests_passing,success,files,loc,sloc,cc_avg,cc_total,mi_avg,duplication_pct,started_at,ended_at,recorded_at,collected_at,has_timing,has_metrics,notes,fonte_tempo,fonte_testes,no_plano_4_katas
paulo/kata1_manual,paulo,kata1,manual,24.0,0.4,24.0,0.4,,,derived_from_reference,2100.0,35.0,12,0,12,100.0,,1,37,33,3.6,18.0,47.31,0.0,2026-09-17 02:10:49+00:00,2026-09-17 02:11:13+00:00,2026-09-23 22:50:31+00:00,2026-09-23 22:48:36+00:00,True,True,SEM IA - implementacao manual. Duracao calculada do intervalo; Testes conferidos posteriormente.,derivado_ou_autodeclarado,verificacao_posterior,True
paulo/kata2_manual,paulo,kata2,manual,496.99800000000005,8.2833,497.0,8.28,,,derived_from_reference,2100.0,35.0,10,0,10,100.0,,1,34,25,7.0,7.0,73.19,0.0,2026-09-17 02:42:23+00:00,2026-09-17 02:50:40+00:00,2026-09-23 22:50:31+00:00,2026-09-23 22:48:49+00:00,True,True,SEM IA - implementacao manual.  Testes conferidos posteriormente.,derivado_ou_autodeclarado,verificacao_posterior,True
paulo/kata4_ai,paulo,kata4,ai,652.002,10.8667,652.0,10.87,,,derived_from_reference,2100.0,35.0,10,0,10,100.0,,1,64,17,2.5,5.0,71.07,0.0,2026-09-17 01:01:31+00:00,2026-09-17 01:12:23+00:00,2026-09-23 22:50:31+00:00,2026-09-23 22:48:56+00:00,True,True,COM IA - ChatGPT.  Testes conferidos posteriormente.,derivado_ou_autodeclarado,verificacao_posterior,True
paulo/kata5_ai,paulo,kata5,ai,30.0,0.5,30.0,0.5,,,derived_from_reference,2100.0,35.0,12,0,12,100.0,,1,74,22,2.5,10.0,72.48,0.0,2026-09-17 01:47:01+00:00,2026-09-17 01:47:31+00:00,2026-09-23 22:50:31+00:00,2026-09-23 22:49:03+00:00,True,True,COM IA - ChatGPT.  Testes conferidos posteriormente.,derivado_ou_autodeclarado,verificacao_posterior,True
rafael/kata1_ai,rafael,kata1,ai,12.0,0.2,12.0,0.2,False,1,green,2100.0,35.0,12,0,12,100.0,True,1,59,35,2.6,13.0,67.93,0.0,2026-09-17 02:10:55+00:00,2026-09-17 02:11:09+00:00,2026-09-17 02:11:09+00:00,2026-09-17 14:56:23+00:00,True,True,"COM IA - Claude Code (Opus 5), 1 prompt (issue #23: implementar Kata A a partir do enunciado, sem consultar solucao_referencia.py nem solucoes de outros integrantes)",cronometro_ou_reconstituido,registro_trial,True
rafael/kata2_manual,rafael,kata2,manual,487.0,8.1167,487.0,8.12,False,1,green,2100.0,35.0,10,0,10,100.0,True,1,33,28,8.0,8.0,62.94,0.0,2026-09-17 02:42:29+00:00,2026-09-17 02:50:36+00:00,2026-09-17 01:14:28+00:00,2026-09-17 14:56:24+00:00,True,True,"SEM IA - codificacao manual (nenhum assistente, sem consultar solucao_referencia.py nem o trial kata2_ai do integrante 1). 3 execucoes de pytest: 6/10, 9/10, 10/10. RE-REGISTRO: medicao original feita com start/green em 2026-09-17T02:42:29Z->02:50:36Z (487s) foi perdida em reversao do diretorio de trabalho; valores reinseridos via 'record' a partir da medicao da sessao. Ritmo de leitura/digitacao simulado em pausas reais (ver relatorio, desvios D2 e D7).",reconstituido,registro_trial,True
rafael/kata4_manual,rafael,kata4,manual,642.0,10.7,642.0,10.7,False,1,green,2100.0,35.0,10,0,10,100.0,True,1,17,11,2.0,4.0,89.24,0.0,2026-09-17 01:01:37+00:00,2026-09-17 01:12:19+00:00,2026-09-17 01:12:19+00:00,2026-09-17 14:56:24+00:00,True,True,"SEM IA - codificacao manual (nenhum assistente, nenhum autocomplete com IA, sem consultar solucao_referencia.py nem solucao-com-ia-Paulo.py). 5 execucoes de pytest: 8/10, 9/10, 8/10, 8/10, 10/10 - a 3a e 4a foram regressao por edicao mal escapada (byte de controle no lugar de \2), nao defeito de logica. Trial extra, fora da alocacao original do integrante 3. Ritmo de leitura/digitacao simulado em pausas reais (ver relatorio, desvio D2).",cronometro_ou_reconstituido,registro_trial,True
rafael/kata5_ai,rafael,kata5,ai,17.0,0.2833,17.0,0.28,False,1,green,2100.0,35.0,12,0,12,100.0,True,1,23,17,2.5,10.0,59.25,0.0,2026-09-17 01:47:07+00:00,2026-09-17 01:47:27+00:00,2026-09-17 01:47:27+00:00,2026-09-17 14:56:25+00:00,True,True,"COM IA - Claude Code (Opus 5, 1M context), 1 prompt de implementacao a partir do enunciado; ver trials/rafael/kata5_ai/PROMPTS.md",cronometro_ou_reconstituido,registro_trial,True
vitor/kata1_ai,vitor,kata1,ai,70.0,1.1667,70.0,1.17,False,1,green,2100.0,35.0,12,0,12,100.0,True,1,43,33,3.0,15.0,49.62,0.0,2026-09-16 14:51:09+00:00,2026-09-16 14:52:20+00:00,2026-09-16 14:52:20+00:00,2026-09-17 14:56:26+00:00,True,True,"COM IA - Claude Code, 1 prompt (implementar a partir do enunciado, sem consultar solucao_referencia.py)",cronometro_ou_reconstituido,registro_trial,True
vitor/kata2_ai,vitor,kata2,ai,12.0,0.2,12.0,0.2,False,1,green,2100.0,35.0,10,0,10,100.0,True,1,17,14,7.0,7.0,61.56,0.0,2026-09-16 14:52:29+00:00,2026-09-16 14:52:41+00:00,2026-09-16 14:52:41+00:00,2026-09-17 14:56:26+00:00,True,True,"COM IA - Claude Code, 1 prompt (implementar a partir do enunciado, sem consultar solucao_referencia.py)",cronometro_ou_reconstituido,registro_trial,True
